EDPD_ID	Data_Source_Type	Lineage_to_Display
EDPD00102	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00103	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00104	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00105	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00106	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00107	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00108	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00109	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00110	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00111	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00112	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00113	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00114	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00115	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00116	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00117	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00118	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00119	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00731	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00120	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Filasterea
EDPD00121	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Ichthyosporea
EDPD00122	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Ichthyosporea
EDPD00123	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Ichthyosporea
EDPD00124	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Ichthyosporea
EDPD00125	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Ichthyosporea
EDPD00126	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Ichthyosporea
EDPD00127	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Pluriformea
EDPD00128	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Pluriformea
EDPD00158	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Aphelidea
EDPD00129	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;core Fungi
EDPD00130	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;core Fungi
EDPD00131	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;core Fungi
EDPD00132	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;core Fungi
EDPD00133	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;core Fungi
EDPD00134	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;core Fungi
EDPD00135	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;core Fungi
EDPD00136	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;core Fungi
EDPD00137	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;core Fungi
EDPD00138	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;core Fungi
EDPD00139	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;core Fungi
EDPD00140	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;core Fungi
EDPD00141	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;core Fungi
EDPD00142	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;core Fungi
EDPD00143	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;core Fungi
EDPD00144	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;core Fungi
EDPD00145	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;core Fungi
EDPD00146	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;core Fungi
EDPD00147	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;core Fungi
EDPD00148	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;core Fungi
EDPD00149	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;core Fungi
EDPD00150	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;core Fungi
EDPD00151	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;core Fungi
EDPD00152	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;core Fungi
EDPD00153	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;core Fungi
EDPD00154	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;core Fungi
EDPD00155	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;cryptomycota
EDPD00156	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;cryptomycota
EDPD00157	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;cryptomycota
EDPD00732	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Rotosphaerida
EDPD00733	single-cell transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Rotosphaerida
EDPD00734	single-cell transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Rotosphaerida
EDPD00159	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Rotosphaerida
EDPD00160	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Rotosphaerida
EDPD00001	transcriptome	Eukaryota;CRuMs;CR clade;Collodictyonidae
EDPD00002	transcriptome	Eukaryota;CRuMs;CR clade;Collodictyonidae
EDPD00003	transcriptome	Eukaryota;CRuMs;Mantamonas
EDPD00004	transcriptome	Eukaryota;CRuMs;CR clade;Rigifilida
EDPD00164	transcriptome	Eukaryota;Diaphoretickes;Ancoracysta
EDPD00329	single-cell genome	Eukaryota;Diaphoretickes;Picozoa
EDPD00191	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00192	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00193	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00194	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00195	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00196	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00197	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00198	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00199	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00200	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00201	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00202	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00203	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00204	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00205	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00206	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00207	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00208	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00209	EST	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00210	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00211	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00212	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00213	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00738	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00215	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00216	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00217	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00218	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00739	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00222	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00223	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00224	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00740	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00227	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00228	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00229	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00230	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00231	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00232	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00233	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00234	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00235	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00236	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00237	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00238	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00239	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00240	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00241	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00242	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta
EDPD00243	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta
EDPD00244	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta
EDPD00245	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta
EDPD00246	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta
EDPD00247	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta
EDPD00248	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta
EDPD00249	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta
EDPD00250	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta
EDPD00251	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta
EDPD00252	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta
EDPD00253	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta
EDPD00254	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta
EDPD00255	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta
EDPD00256	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta
EDPD00257	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta
EDPD00258	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta
EDPD00259	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta
EDPD00260	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta
EDPD00261	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta
EDPD00262	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta
EDPD00263	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta
EDPD00264	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta
EDPD00265	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta
EDPD00266	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta
EDPD00267	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta
EDPD00268	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta
EDPD00269	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta
EDPD00270	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta
EDPD00271	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta
EDPD00272	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta
EDPD00741	genome	Eukaryota;Diaphoretickes;Archaeplastida;Glaucophyta
EDPD00274	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Glaucophyta
EDPD00275	EST	Eukaryota;Diaphoretickes;Archaeplastida;Glaucophyta
EDPD00276	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Glaucophyta
EDPD00735	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;RR clade;Rhodelphis
EDPD00736	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;RR clade;Rhodelphis
EDPD00165	genome	Eukaryota;Diaphoretickes;Archaeplastida;RR clade;Rhodophyta
EDPD00166	genome	Eukaryota;Diaphoretickes;Archaeplastida;RR clade;Rhodophyta
EDPD00167	genome	Eukaryota;Diaphoretickes;Archaeplastida;RR clade;Rhodophyta
EDPD00168	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;RR clade;Rhodophyta
