EukProt_ID	Data_Source_Type	Lineage_to_Display	Genus_UniEuk	Epithet_UniEuk
EP01097	transcriptome	Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia	Dermamoeba	algensis
EP01098	transcriptome	Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia	Paradermamoeba	levis
EP01099	transcriptome	Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia	Mayorella	cantabrigiensis
EP01100	transcriptome	Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia	Stratorugosa	tubuloviscum
EP01101	transcriptome	Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia	Sappina	pedata
EP01102	transcriptome	Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia	Stenamoeba	stenopodia
EP01103	transcriptome	Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia	Thecamoeba	quadrilineata
EP01104	transcriptome	Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia	Vermistella	antarctica
EP00014	genome	Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea	Entamoeba	dispar
EP00015	genome	Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea	Entamoeba	histolytica
EP00016	genome	Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea	Entamoeba	nuttalli
EP00017	genome	Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea	Entamoeba	invadens
EP00727	genome	Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea	"Mastigamoeba"	balamuthi
EP01105	transcriptome	Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea	Mastigella	eilhardi
EP01106	transcriptome	Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea	Pelomyxa	N/A
EP01107	transcriptome	Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea	Rhizomastix	libera
EP00019	transcriptome	Eukaryota;Amorphea;Amoebozoa;Evosea;Cutosea	Armaparvus	languidus
EP00020	transcriptome	Eukaryota;Amorphea;Amoebozoa;Evosea;Cutosea	Sapocribrum	chincoteaguense
EP01108	transcriptome	Eukaryota;Amorphea;Amoebozoa;Evosea;Cutosea	Squamamoeba	japonica
EP00021	genome	Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa	Heterostelium	album
EP00022	genome	Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa	Cavenderia	fasciculata
EP00023	genome	Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa	Dictyostelium	discoideum
EP00024	genome	Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa	Dictyostelium	purpureum
EP00025	genome	Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa	Tieghemostelium	lacteum
EP00026	transcriptome	Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa	Physarum	polycephalum
EP01109	genome	Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa	Acytostelium	subglobosum
EP01110	transcriptome	Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa	Echinostelium	bisporum
EP01111	transcriptome	Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa	Echinosteliopsis 	oligospora
EP01112	transcriptome	Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa	Ceratiomyxa	fruticulosa
EP01113	transcriptome	Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa	Clastostelium	recurvatum
EP01132	genome	Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa	Coremiostelium	polycephalum
EP01133	genome	Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa	Synstelium	polycarpum
EP00027	transcriptome	Eukaryota;Amorphea;Amoebozoa;Evosea;Variosea	Filamoeba	N/A
EP01114	transcriptome	Eukaryota;Amorphea;Amoebozoa;Evosea;Variosea	Cavostelium	apophysatum
EP01115	transcriptome	Eukaryota;Amorphea;Amoebozoa;Evosea;Variosea	Flamella 	aegyptia
EP01116	transcriptome	Eukaryota;Amorphea;Amoebozoa;Evosea;Variosea	Phalansterium 	solitarium
EP01117	transcriptome	Eukaryota;Amorphea;Amoebozoa;Evosea;Variosea	Protostelium	nocturnum
EP01118	transcriptome	Eukaryota;Amorphea;Amoebozoa;Evosea;Variosea	Nematostelium	gracile
EP01119	transcriptome	Eukaryota;Amorphea;Amoebozoa;Evosea;Variosea	Soliformovum 	irregulare
EP00028	transcriptome	Eukaryota;Amorphea;Amoebozoa;Tubulinea	Trichosphaerium	N/A
EP00029	transcriptome	Eukaryota;Amorphea;Amoebozoa;Tubulinea	Vermamoeba	vermiformis
EP01120	transcriptome	Eukaryota;Amorphea;Amoebozoa;Tubulinea	Amphizonella	N/A
EP01121	transcriptome	Eukaryota;Amorphea;Amoebozoa;Tubulinea	Diplochlamys	N/A
EP01122	transcriptome	Eukaryota;Amorphea;Amoebozoa;Tubulinea	Echinamoeba 	exundans
EP01123	transcriptome	Eukaryota;Amorphea;Amoebozoa;Tubulinea	"Difflugia"	compressa
EP01124	transcriptome	Eukaryota;Amorphea;Amoebozoa;Tubulinea	Arcella 	intermedia
EP01125	transcriptome	Eukaryota;Amorphea;Amoebozoa;Tubulinea	Pyxidicula	operculata
EP01126	transcriptome	Eukaryota;Amorphea;Amoebozoa;Tubulinea	Amoeba	proteus
EP01127	transcriptome	Eukaryota;Amorphea;Amoebozoa;Tubulinea	Copromyxa	protea
EP01128	transcriptome	Eukaryota;Amorphea;Amoebozoa;Tubulinea	Nolandella	N/A
EP01129	transcriptome	Eukaryota;Amorphea;Amoebozoa;Tubulinea	Flabellula	baltica
EP01130	transcriptome	Eukaryota;Amorphea;Amoebozoa;Tubulinea	Rhizamoeba	saxonica
EP00030	transcriptome	Eukaryota;Amorphea;Obazoa;Apusomonadida	N/A	N/A
EP00031	genome	Eukaryota;Amorphea;Obazoa;Apusomonadida	Thecamonas	trahens
EP01139	EST	Eukaryota;Amorphea;Obazoa;Apusomonadida	Manchomonas	bermudensis
EP00032	EST	Eukaryota;Amorphea;Obazoa;Breviatea	Breviata	anathema
EP00033	transcriptome	Eukaryota;Amorphea;Obazoa;Breviatea	Pygsuia	biforma
EP00034	transcriptome	Eukaryota;Amorphea;Obazoa;Breviatea	Subulatomonas	tetraspora
EP01086	transcriptome	Eukaryota;Amorphea;Obazoa;Breviatea	Lenisia	limosa
EP00035	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Choanoflagellatea	Acanthoeca	spectabilis
EP00036	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Choanoflagellatea	N/A	N/A
EP00037	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Choanoflagellatea	Helgoeca	nana
EP00038	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Choanoflagellatea	Savillea	parva
EP00039	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Choanoflagellatea	Didymoeca	costata
EP00040	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Choanoflagellatea	Diaphanoeca	grandis
EP00041	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Choanoflagellatea	"Stephanoeca"	diplocostata
EP00042	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Choanoflagellatea	Codosiga	hollandica
EP00043	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Choanoflagellatea	Microstomoeca	roanoka
EP00044	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Choanoflagellatea	"Salpingoeca"	rosetta
EP00045	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Choanoflagellatea	Choanoeca	perplexa
EP00046	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Choanoflagellatea	Monosiga	brevicollis
EP00047	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Choanoflagellatea	Mylnosiga	fluctuans
EP00048	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Choanoflagellatea	"Salpingoeca"	helianthica
EP00049	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Choanoflagellatea	"Salpingoeca"	infusionum
EP00050	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Choanoflagellatea	"Salpingoeca"	kvevrii
EP00051	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Choanoflagellatea	"Salpingoeca"	urceolata
EP00052	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Choanoflagellatea	"Salpingoeca"	macrocollata
EP00053	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Choanoflagellatea	"Salpingoeca"	punica
EP00054	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Choanoflagellatea	"Salpingoeca"	dolichothecata
EP00055	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Choanoflagellatea	Hartaetosiga	balthica
EP00056	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Choanoflagellatea	Hartaetosiga	gracilis
EP00729	single-cell genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Choanoflagellatea	Bicosta	minor
EP00730	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Choanoflagellatea	Choanoeca	flexa
EP00911	single-cell genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Choanoflagellatea	N/A	N/A
EP00912	single-cell genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Choanoflagellatea	N/A	N/A
EP01147	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Choanoflagellatea	Barroeca	monosierra
EP00057	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Strongylocentrotus	purpuratus
EP00058	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Branchiostoma	floridae
EP00059	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Ciona	intestinalis
EP00060	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Petromyzon	marinus
EP00061	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Rhincodon	typus
EP00062	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Callorhinchus	milii
EP00063	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Salmo	salar
EP00064	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Thunnus	orientalis
EP00065	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Mola	mola
EP00066	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Takifugu	rubripes
EP00067	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Danio	rerio
EP00068	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Latimeria	chalumnae
EP00069	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Balaena	mysticetus
EP00070	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Physeter	catodon
EP00071	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Canis	lupus
EP00072	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Mus	musculus
EP00073	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Rattus	norvegicus
EP00074	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Homo	sapiens
EP00075	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Anas	platyrhynchos
EP00076	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Gallus	gallus
EP00077	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Pelodiscus	sinensis
EP00078	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Anolis	carolinensis
EP00079	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Xenopus	tropicalis
EP00080	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Pristionchus	pacificus
EP00081	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Caenorhabditis	elegans
EP00082	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Ixodes	scapularis
EP00083	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Stegodyphus	mimosarum
EP00084	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Strigamia	maritima
EP00085	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Daphnia	pulex
EP00087	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Eurytemora	affinis
EP00088	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Acartia	fossae
EP00090	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Calanus	glacialis
EP00091	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Calanus	sinicus
EP00092	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Neocalanus	flemingeri
EP00093	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Oithona	nana
EP00094	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Tigriopus	californicus
EP00095	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Tigriopus	kingsejongensis
EP00096	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Caligus	rogercresseyi
EP00097	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Lepeophtheirus	salmonis
EP00098	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Tribolium	castaneum
EP00099	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Drosophila	melanogaster
EP00100	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Culex	quinquefasciatus
EP00101	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Apis	mellifera
EP00102	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Acyrthosiphon	pisum
EP00103	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Capitella	teleta
EP00104	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Lingula	anatina
EP00105	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Crassostrea	gigas
EP00106	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Octopus	bimaculoides
EP00107	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Lottia	gigantea
EP00108	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Taenia	solium
EP00109	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Schistosoma	mansoni
EP00110	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Nematostella	vectensis
EP00111	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Clytia	hemisphaerica
EP00112	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Aurelia	N/A
EP00113	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Trichoplax	adhaerens
EP00114	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Trichoplax	N/A
EP00115	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Mnemiopsis	leidyi
EP00116	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Pleurobrachia	bachei
EP00117	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Sycon	ciliatum
EP00118	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Oscarella	pearsei
EP00119	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	"Amphimedon"	queenslandica
EP00731	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Ephydatia	muelleri
EP00794	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Sanderia	malayensis
EP00795	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Rhopilema	esculentum
EP00800	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Choanozoa;Metazoa	Vazella	pourtalesii
EP00120	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Filasterea	Capsaspora	owczarzaki
EP01136	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Filasterea	Pigoraptor	vietnamica
EP01137	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Filozoa;Filasterea	Pigoraptor	chileana
EP00121	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Ichthyosporea	Abeoforma	whisleri
EP00122	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Ichthyosporea	Pirum	gemmata
EP00123	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Ichthyosporea	Amoebidium	parasiticum
EP00124	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Ichthyosporea	Ichthyophonus	hoferi
EP00125	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Ichthyosporea	Sphaeroforma	arctica
EP00126	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Ichthyosporea	Sphaerothecum	destruens
EP01134	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Ichthyosporea	Creolimax	fragrantissima
EP01135	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Ichthyosporea	Chromosphaera	perkinsii
EP00127	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Pluriformea	Corallochytrium	limacisporum
EP00128	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Pluriformea	Syssomonas	multiformis
EP00129	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Allomyces	macrogynus
EP00130	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Batrachochytrium	dendrobatidis
EP00131	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Spizellomyces	punctatus
EP00132	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Gonapodya	prolifera
EP00133	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Fusarium	graminearum
EP00134	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Neurospora	crassa
EP00135	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Aspergillus	nidulans
EP00136	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Aspergillus	niger
EP00137	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Aspergillus	oryzae
EP00138	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Coccidioides	posadasii
EP00139	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Candida	albicans
EP00140	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Debaryomyces	hansenii
EP00141	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Yarrowia	lipolytica
EP00142	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Kluyveromyces	lactis
EP00143	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Candida	glabrata
EP00144	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Saccharomyces	cerevisiae
EP00145	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Schizosaccharomyces	pombe
EP00146	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Coprinopsis	cinerea
EP00147	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Laccaria	bicolor
EP00148	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Cryptococcus	gattii
EP00149	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Cryptococcus	neoformans
EP00150	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Ustilago	maydis
EP00151	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Rhizophagus	irregularis
EP00152	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Rhizopus	delemar
EP00153	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Phycomyces	blakesleeanus
EP00154	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Conidiobolus	coronatus
EP00155	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Edhazardia	aedis
EP00156	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Nosema	bombycis
EP00157	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Rozella	allomycis
EP00158	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Paraphelidium	tribonemae
EP00832	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Piromyces	N/A
EP00833	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Pecoramyces	ruminatium
EP00834	single-cell genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Sanchytrium	tribonematis
